site_id,reviewed_on,reviewer,imagery,zoom_level,evidence_image,observed_detail,developable,finding
OSM-1106893529,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106893529.jpg,Marker sits on the barrier with the lagoon shore about 400 m north and a continuous white surf line about 500 m south; a small hooked sand island lies in the lagoon to the west. The only improved green paddock in frame is east of the marker beyond a shelterbelt.,no,"Kaitorete Spit. Bare gravel, dune and rough barrier vegetation between the lagoon and the open coast, with a formed track along it. Not developable land."
OSM-1107203598,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1107203598.jpg,"A light aircraft is parked on a pale grass airstrip roughly 700 m east-southeast of the marker, inside a fenced paddock block. The marker itself is on unimproved grey-green lagoon-margin flats north of that fence line.",no,"Kaitorete Spit. The polygon covers the rough lagoon margin, not the improved paddocks to its south. Barrier landform, not developable."
OSM-1106893522,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106893522.jpg,"Barrier is roughly 700 m wide here: dark lagoon-edge vegetation across the top, a strip of small rectangular paddocks with dark shelterbelts through the middle, then grey gravel and the surf line along the bottom. Marker sits at the paddock/margin boundary.",no,Kaitorete Spit. A narrow strip of small paddocks between the lagoon shore and the ocean beach. Too narrow and too exposed to be a candidate.
OSM-1095162202,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1095162202.jpg,"Regular rectangular paddocks in mixed green and tan crop colours, a small coastal settlement about 1.2 km south-southeast, and a braided riverbed with dark riparian forest along the western edge of the frame.",yes,"Plains cropping and pasture inland of a river-mouth settlement. Flat, regular, road frontage. A genuine candidate."
OSM-1419668719,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1419668719.jpg,"The marker sits inside a complete centre-pivot circle; at least eight more pivot circles fill the frame, with a braided riverbed and its shingle down the western side and two small green irrigation ponds to the south-east.",yes,"Centre-pivot irrigated cropping. Flat, large and regular. A genuine candidate."
OSM-1106121769,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106121769.jpg,"Marker is on a tan-brown spur that drops into dark cliffed shoreline within about 200 m to the east and south; a bay with a beach and a cluster of buildings sits below to the south, and the surrounding slopes are cut by deep shadowed gullies.",no,"Banks Peninsula. Steep coastal hillside above cliffs. Slope alone rules it out, and S-08 is not implemented in the baseline, so nothing in the screen caught it."
OSM-1098809635,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1098809635.jpg,Flat improved paddocks with dark shelterbelt lines running north-south; an active braided channel with pale shingle is about 300 m east of the marker and the main braided riverbed with its wide white shingle bed is about 2 km west.,yes,"Flat improved pasture on a terrace between two braided channels. Developable, but flood hazard is out of scope here and would need checking."
OSM-1106166175,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106166175.jpg,"Marker is on a narrow valley floor about 600 m inland of a beach, with a cluster of buildings between it and the shore; steep dark-green slopes rise on both sides within a few hundred metres, and the valley is under 400 m wide.",no,Banks Peninsula. Enclosed bay-head valley floor immediately behind a settlement. Too small and too constrained to be a candidate.
OSM-1106896738,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106896738.jpg,The same grass airstrip with a parked aircraft appears about 1.5 km west-south-west; the marker is on flat grey-green margin between the dark lagoon shoreline to the north and a block of bright green fenced paddocks to the south.,no,Kaitorete Spit. Lagoon-margin flats north of the improved paddocks; same barrier landform as the other spit polygons.
OSM-1099340109,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1099340109.jpg,"Marker sits in a large regular paddock immediately west of a braided channel with pale shingle; a farmstead with white-roofed buildings and a shelterbelt lies about 600 m south-west, and the main braided riverbed is in the south-west corner of the frame.",yes,Flat improved pasture beside a river channel on the plains. A genuine candidate.
OSM-1098809630,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1098809630.jpg,"Flat paddock grid with dark shelterbelts; the farmstead and its buildings are about 500 m north-west of the marker, and the frame is bounded by a braided riverbed in the south-west and a second channel in the east.",yes,Flat improved pasture in the same block of plains farmland. A genuine candidate.
OSM-1099340129,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1099340129.jpg,"Marker sits on a terrace of regular green paddocks with dark shelterbelt strips running north-east; a farmstead sits about 300 m west, an active shingle channel about 500 m north, and the main braided riverbed fills the south-west corner.",yes,Improved pasture on a terrace above a braided river. Flat and regular; a genuine candidate.
OSM-1107584568,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1107584568.jpg,Marker is within about 100 m of the lake edge on a low brown wetland promontory with standing water and channels visible in the polygon; the open lake fills the eastern half of the frame and a lake outlet cuts the barrier to the south-east.,no,Western margin of the lagoon. Low-lying wetland fringe at the lake edge. Not developable.
OSM-1106893534,2026-09-13,Claude Opus 5 (AI agent) in the repository author's session; not independently confirmed by a person,"LINZ Basemaps aerial, WebMercatorQuad z14, 3x3 tile mosaic centred on the polygon centroid",14,data/aerial/OSM-1106893534.jpg,"A pale sand island sits in the lagoon about 800 m north-west; the marker is on flat grey barrier ground between the dark lagoon shoreline and a block of bright green paddocks immediately south, with the ocean surf line along the bottom of the frame.",no,Kaitorete Spit. Lagoon-margin ground north of the improved paddocks; same barrier landform as the other spit polygons.
