rule_id,name,source,rule_type,threshold,testable_from_open_data,failure_action,source_accuracy_basis
S-01,Minimum contiguous area,Project screening assumption,exclude,20 ha,yes,quarantine,Parcel geometry; LINZ NZ Primary Land Parcels nominal accuracy 1-100 m rural. Area is measured on the polygon as published
S-02,Minimum usable width,Project screening assumption,exclude,180 m inward-buffer core; 2A/P published as audit comparator only,yes,quarantine,As S-01; the inward-buffer core is measured on the same geometry
S-03,Usable land cover,LCDB v5.0,exclude,Configured whitelist,yes,quarantine,"LCDB v5.0 class attribute; no positional test, so no accuracy band applies"
S-04,Outside public conservation land,LINZ Protected Areas (53564) with the Protected Area / Parcel association table (3561),exclude,"Parcel identity against table 3561 where the protected area is defined from parcels; for protected areas with no association row, overlap area above source_accuracy.conservation_overlay_m x boundary length; s04_basis records which decided",yes,quarantine,"Identity against LINZ table 3561 where a protected area is defined from parcels ('boundaries for most protected areas are derived from the Landonline Primary Parcel(s)'); geometry only for areas with no association row, against siting.source_accuracy.conservation_overlay_m = 0.5 m"
S-05,Highly productive land flag,NPS-HPL 2022 amended Dec 2025; NZLRI Land Use Capability 2021,flag,hpl_fraction (share of the unit mapped LUC 1/2/3) above that unit's own luc_noise_band = source_accuracy.luc_overlay_m x perimeter / area; both published,yes,retain with consenting review flag,"NZLRI LUC 2021 is 1973-79 mapping at 1:63,360 outside the four upgraded regions; siting.source_accuracy.luc_overlay_m = 32 m is 0.5 mm at that scale, a cartographic convention and not an LRIS figure"
S-06,Distance to grid data,LINZ Topo50 powerlines and road-centreline proxy; any layer carrying a voltage attribute is tiered,rank+flag,Per-voltage-tier nearest distances in metres; one implementation in grid_distance.verify_grid_flag flags on connection-tier distance against that tier's review_distance_m (grid_distance_review_m only where the layer carries no voltage attribute); unknown distance also flags; rank_shift is published but never triggers; excluded from screen_score,yes,retain with verify-grid flag,"LINZ Topo50 and OSM line geometry; no accuracy band applied because the review distance is in kilometres, orders of magnitude above the disagreement between the layers"
S-07,Mean annual solar radiation,LENZ mean annual solar radiation,rank,Higher is better; weighted screen_score_weights.solar_resource in review ordering,yes,retain and rank,"LENZ mean annual solar radiation grid sampled per polygon; a raster value, no vector overlay"
S-08,Mean slope,Copernicus GLO-30 DEM sampled per site by scripts/compute_site_terrain.py,exclude,Mean slope over the polygon above maximum_mean_slope_deg; a site with no slope value is not excluded and raises S08_verify_slope instead,yes,quarantine,"Copernicus GLO-30, a 30 m surface model; the rule uses the mean over the polygon rather than the maximum for that reason"
S-09,Mapped water or wetland,OpenStreetMap natural=water/wetland and landuse=basin,exclude,Any intersection with mapped standing water or wetland,yes,quarantine,"OpenStreetMap geometry, completeness and accuracy both uneven; distance is tested unrounded against zero"
S-10,Coastal hazard proximity,OpenStreetMap natural=coastline,flag,Within coastal_review_distance_m of the open coast,yes,retain with coastal-hazard review flag,"OpenStreetMap coastline; the 1,000 m review distance is far above the layer's positional disagreement"
